Relative to: x.my5621_rel.z10a_bee.pk1
col-1 : x.my5631_rel.z10a_bee.pk1
col-2 : x.my5641_rel.z10a_bee.pk1
col-3 : x.my5651_rel.z10a_bee.pk1

col-1	col-2	col-3
0.98	0.97	0.94	hot-points_range=100
0.99	0.99	0.99	point-query.pre_range=100
1.00	1.00	1.00	point-query_range=100
0.99	0.98	0.97	points-covered-pk.pre_range=100
0.98	0.98	0.98	points-covered-pk_range=100
0.97	0.97	0.97	points-covered-si.pre_range=100
0.98	0.98	0.98	points-covered-si_range=100
0.99	0.99	0.98	points-notcovered-pk.pre_range=100
0.98	0.99	0.98	points-notcovered-pk_range=100
0.98	0.97	0.97	points-notcovered-si.pre_range=100
0.98	0.97	0.97	points-notcovered-si_range=100
1.01	1.00	0.99	random-points.pre_range=1000
0.99	0.99	0.98	random-points.pre_range=100
0.97	0.97	0.97	random-points.pre_range=10
1.00	1.00	0.98	random-points_range=1000
0.99	0.99	0.99	random-points_range=100
0.97	0.97	0.97	random-points_range=10
0.96	0.94	0.94	range-covered-pk.pre_range=100
0.96	0.94	0.94	range-covered-pk_range=100
0.96	0.94	0.93	range-covered-si.pre_range=100
0.97	0.95	0.95	range-covered-si_range=100
0.94	0.93	0.93	range-notcovered-pk.pre_range=100
0.94	0.93	0.93	range-notcovered-pk_range=100
0.98	0.97	0.96	range-notcovered-si.pre_range=100
0.98	0.98	0.96	range-notcovered-si_range=100
0.98	0.96	0.97	read-only.pre_range=10000
0.97	0.97	0.97	read-only.pre_range=100
0.98	0.99	0.99	read-only.pre_range=10
0.97	0.96	0.96	read-only_range=10000
0.97	0.98	0.97	read-only_range=100
0.98	0.98	0.98	read-only_range=10
0.88	0.87	0.89	scan_range=100
0.99	0.98	0.99	delete_range=100
0.97	0.98	0.96	insert_range=100
0.96	0.94	1.00	read-write_range=100
0.98	0.97	0.98	read-write_range=10
1.03	0.95	0.99	update-index_range=100
1.00	1.18	1.20	update-inlist_range=100
0.99	0.98	0.99	update-nonindex_range=100
0.99	0.98	0.99	update-one_range=100
0.99	0.98	1.00	update-zipf_range=100
1.01	0.97	0.99	write-only_range=10000
