Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
1.00	0.94	1.02	0.97	hot-points_range=100
0.99	0.98	0.96	0.95	point-query_range=100
0.95	0.95	0.98	0.95	points-covered-pk_range=100
1.00	0.83	0.93	0.92	points-covered-si_range=100
0.95	0.94	0.97	0.95	points-notcovered-pk_range=100
0.99	0.90	0.97	0.97	points-notcovered-si_range=100
0.94	0.93	0.98	0.95	random-points_range=1000
0.95	0.94	0.97	0.95	random-points_range=100
0.98	0.97	0.97	0.95	random-points_range=10
0.99	0.99	0.98	0.93	range-covered-pk_range=100
1.01	0.97	0.97	0.92	range-covered-si_range=100
1.01	0.95	0.95	0.90	range-notcovered-pk_range=100
0.93	0.93	0.95	0.95	range-notcovered-si_range=100
1.01	1.01	1.01	0.99	read-only-count_range=1000
1.00	0.98	0.97	0.93	read-only-distinct_range=1000
1.00	0.97	0.95	0.92	read-only-order_range=1000
1.01	0.97	0.98	0.94	read-only_range=10000
1.00	0.98	0.97	0.95	read-only_range=100
1.00	0.99	0.97	0.96	read-only_range=10
1.01	0.95	0.96	0.93	read-only-simple_range=1000
1.00	0.99	0.99	0.98	read-only-sum_range=1000
0.85	0.98	1.05	1.02	scan_range=100
0.87	1.05	1.05	1.03	scan.warm_range=100
1.02	0.96	0.95	0.94	delete_range=100
1.02	0.98	0.98	0.98	insert_range=100
1.01	0.97	0.96	0.94	read-write_range=100
1.01	0.97	0.96	0.95	read-write_range=10
1.03	0.96	0.95	0.95	update-index_range=100
1.11	0.95	0.95	0.96	update-inlist_range=100
1.02	0.92	0.92	0.92	update-nonindex_range=100
1.01	0.89	0.88	0.90	update-one_range=100
1.02	0.92	0.92	0.92	update-zipf_range=100
1.02	0.96	0.96	0.95	write-only_range=10000
