Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
1.00	0.98	1.06	1.04	hot-points_range=100
0.99	0.99	0.99	0.97	point-query_range=100
0.81	0.81	0.83	0.82	points-covered-pk_range=100
1.01	0.87	0.96	0.93	points-covered-si_range=100
0.81	0.82	0.83	0.83	points-notcovered-pk_range=100
0.84	0.83	0.86	0.86	points-notcovered-si_range=100
0.83	0.82	0.84	0.84	random-points_range=1000
0.82	0.82	0.83	0.83	random-points_range=100
0.93	0.92	0.93	0.92	random-points_range=10
1.01	0.98	0.99	0.96	range-covered-pk_range=100
1.00	0.98	0.97	0.95	range-covered-si_range=100
1.02	0.95	0.95	0.92	range-notcovered-pk_range=100
0.85	0.85	0.86	0.87	range-notcovered-si_range=100
1.02	1.01	1.02	0.99	read-only-count_range=1000
1.00	0.98	0.98	0.93	read-only-distinct_range=1000
1.01	0.97	0.96	0.92	read-only-order_range=1000
1.01	0.97	0.97	0.93	read-only_range=10000
1.01	0.98	0.98	0.95	read-only_range=100
1.00	0.99	0.98	0.96	read-only_range=10
1.02	0.95	0.97	0.93	read-only-simple_range=1000
1.01	0.99	1.01	0.98	read-only-sum_range=1000
0.84	0.85	0.88	0.86	scan_range=100
0.89	0.96	0.89	0.92	scan.warm_range=100
1.41	1.37	1.36	1.38	delete_range=100
1.23	1.23	1.22	1.24	insert_range=100
1.01	0.98	0.97	0.96	read-write_range=100
1.02	0.99	0.98	0.97	read-write_range=10
1.64	1.55	1.55	1.54	update-index_range=100
2.14	2.00	2.00	2.02	update-inlist_range=100
1.20	1.15	1.13	1.14	update-nonindex_range=100
1.04	1.01	1.00	1.00	update-one_range=100
1.18	1.13	1.12	1.13	update-zipf_range=100
1.28	1.24	1.23	1.24	write-only_range=10000
