Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
1.00	0.98	1.07	1.05	hot-points_range=100
0.99	0.99	0.98	0.99	point-query_range=100
0.84	0.84	0.85	0.84	points-covered-pk_range=100
1.00	0.89	0.98	0.96	points-covered-si_range=100
0.84	0.83	0.86	0.85	points-notcovered-pk_range=100
0.89	0.86	0.91	0.90	points-notcovered-si_range=100
0.82	0.81	0.84	0.83	random-points_range=1000
0.84	0.83	0.85	0.84	random-points_range=100
0.95	0.95	0.97	0.96	random-points_range=10
1.00	1.00	1.00	0.96	range-covered-pk_range=100
0.99	0.99	1.00	0.95	range-covered-si_range=100
1.01	0.96	0.96	0.92	range-notcovered-pk_range=100
0.82	0.82	0.84	0.83	range-notcovered-si_range=100
1.03	1.01	1.03	1.00	read-only-count_range=1000
1.00	0.96	0.98	0.94	read-only-distinct_range=1000
1.01	0.97	0.96	0.93	read-only-order_range=1000
1.02	0.96	0.98	0.94	read-only_range=10000
1.01	0.98	0.98	0.98	read-only_range=100
1.00	1.00	0.99	0.99	read-only_range=10
1.01	0.95	0.97	0.95	read-only-simple_range=1000
1.00	0.99	1.00	0.99	read-only-sum_range=1000
1.04	1.03	1.18	1.18	scan_range=100
1.08	1.08	1.14	1.06	scan.warm_range=100
1.31	1.26	1.24	1.26	delete_range=100
1.18	1.15	1.14	1.15	insert_range=100
1.02	0.99	0.99	0.97	read-write_range=100
1.03	0.99	0.99	0.98	read-write_range=10
1.38	1.35	1.37	1.36	update-index_range=100
1.96	1.82	1.80	1.82	update-inlist_range=100
1.16	1.09	1.07	1.09	update-nonindex_range=100
1.06	1.00	0.98	0.99	update-one_range=100
1.16	1.09	1.06	1.09	update-zipf_range=100
1.21	1.15	1.15	1.15	write-only_range=10000
