Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
0.97	0.97	1.06	1.04	hot-points_range=100
0.94	0.96	0.95	0.96	point-query_range=100
0.88	0.87	0.88	0.89	points-covered-pk_range=100
0.97	0.74	0.82	0.80	points-covered-si_range=100
0.88	0.88	0.88	0.89	points-notcovered-pk_range=100
0.88	0.89	0.90	0.90	points-notcovered-si_range=100
0.88	0.87	0.88	0.89	random-points_range=1000
0.88	0.87	0.88	0.89	random-points_range=100
0.88	0.87	0.88	0.88	random-points_range=10
0.98	0.98	0.98	0.94	range-covered-pk_range=100
0.99	0.97	0.96	0.94	range-covered-si_range=100
0.97	0.94	0.93	0.90	range-notcovered-pk_range=100
0.88	0.88	0.89	0.89	range-notcovered-si_range=100
0.91	0.91	0.91	0.93	read-only-count_range=1000
1.00	0.98	0.97	0.95	read-only-distinct_range=1000
1.01	0.99	0.97	0.95	read-only-order_range=1000
1.03	0.98	0.99	0.95	read-only_range=10000
0.97	0.97	0.96	0.95	read-only_range=100
0.97	0.98	0.97	0.97	read-only_range=10
0.98	0.94	0.94	0.93	read-only-simple_range=1000
0.96	0.96	0.95	0.96	read-only-sum_range=1000
0.93	0.72	0.90	0.86	scan_range=100
0.88	0.84	0.78	0.80	scan.warm_range=100
1.61	1.60	1.61	1.63	delete_range=100
1.37	1.36	1.38	1.39	insert_range=100
1.04	1.02	1.02	1.01	read-write_range=100
1.07	1.05	1.05	1.05	read-write_range=10
2.29	2.12	2.10	2.13	update-index_range=100
2.42	2.28	2.27	2.26	update-inlist_range=100
1.29	1.28	1.28	1.30	update-nonindex_range=100
1.03	1.03	1.02	1.02	update-one_range=100
1.27	1.26	1.26	1.27	update-zipf_range=100
1.66	1.61	1.61	1.64	write-only_range=10000
