Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
0.99	0.98	1.06	1.03	hot-points_range=100
0.97	0.98	0.97	0.96	point-query_range=100
0.86	0.86	0.87	0.87	points-covered-pk_range=100
0.99	0.81	0.89	0.87	points-covered-si_range=100
0.86	0.87	0.88	0.87	points-notcovered-pk_range=100
0.86	0.87	0.89	0.89	points-notcovered-si_range=100
0.85	0.87	0.88	0.87	random-points_range=1000
0.86	0.87	0.87	0.87	random-points_range=100
0.85	0.86	0.85	0.86	random-points_range=10
0.98	0.99	1.00	0.96	range-covered-pk_range=100
1.00	1.01	1.00	0.97	range-covered-si_range=100
1.02	0.97	0.97	0.91	range-notcovered-pk_range=100
0.85	0.86	0.88	0.88	range-notcovered-si_range=100
1.00	1.00	1.01	0.98	read-only-count_range=1000
1.00	0.98	0.98	0.94	read-only-distinct_range=1000
1.00	0.97	0.96	0.93	read-only-order_range=1000
1.01	0.97	0.98	0.93	read-only_range=10000
1.00	0.98	0.97	0.95	read-only_range=100
0.99	0.98	0.97	0.96	read-only_range=10
1.00	0.95	0.96	0.91	read-only-simple_range=1000
0.99	0.98	0.98	0.98	read-only-sum_range=1000
0.74	0.74	0.77	0.77	scan_range=100
0.75	0.75	0.79	0.87	scan.warm_range=100
1.54	1.54	1.53	1.55	delete_range=100
1.35	1.35	1.36	1.37	insert_range=100
1.02	0.99	0.99	0.98	read-write_range=100
1.04	1.01	1.01	1.00	read-write_range=10
2.15	1.99	2.00	2.02	update-index_range=100
2.36	2.24	2.24	2.26	update-inlist_range=100
1.27	1.26	1.27	1.28	update-nonindex_range=100
1.04	1.03	1.03	1.03	update-one_range=100
1.24	1.24	1.25	1.26	update-zipf_range=100
1.51	1.47	1.47	1.49	write-only_range=10000
