Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
0.93	0.94	1.00	1.01	hot-points_range=100
0.99	0.98	0.95	0.97	point-query_range=100
0.97	0.98	1.01	1.00	points-covered-pk_range=100
0.99	1.01	1.09	1.08	points-covered-si_range=100
0.96	0.96	1.00	0.99	points-notcovered-pk_range=100
0.98	0.98	1.06	1.05	points-notcovered-si_range=100
0.96	0.97	1.02	1.01	random-points_range=1000
0.96	0.96	1.00	0.99	random-points_range=100
0.96	0.96	0.95	0.96	random-points_range=10
0.98	0.98	0.95	0.96	range-covered-pk_range=100
0.98	0.99	0.95	0.95	range-covered-si_range=100
0.99	0.94	0.93	0.92	range-notcovered-pk_range=100
0.98	0.97	1.03	1.03	range-notcovered-si_range=100
1.02	1.01	0.98	1.00	read-only-count_range=1000
1.00	0.97	0.96	0.93	read-only-distinct_range=1000
1.01	0.96	0.94	0.92	read-only-order_range=1000
1.01	0.96	0.96	0.93	read-only_range=10000
1.00	0.97	0.94	0.96	read-only_range=100
0.99	0.98	0.95	0.98	read-only_range=10
1.01	0.94	0.94	0.94	read-only-simple_range=1000
1.00	0.98	0.96	0.99	read-only-sum_range=1000
1.02	1.05	1.06	1.03	scan_range=100
1.06	1.06	1.08	1.03	scan.warm_range=100
0.99	0.93	0.88	0.92	delete_range=100
1.02	0.95	0.93	0.98	insert_range=100
1.00	0.96	0.94	0.95	read-write_range=100
0.99	0.96	0.94	0.96	read-write_range=10
1.01	1.03	1.03	1.01	update-index_range=100
1.01	0.85	0.86	0.88	update-inlist_range=100
0.97	0.87	0.84	0.86	update-nonindex_range=100
0.96	0.87	0.84	0.87	update-one_range=100
0.97	0.86	0.84	0.86	update-zipf_range=100
1.00	0.93	0.92	0.92	write-only_range=10000
