Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
0.99	0.97	1.06	1.04	hot-points_range=100
1.00	0.98	0.97	0.97	point-query_range=100
0.86	0.87	0.86	0.88	points-covered-pk_range=100
1.01	0.85	0.93	0.91	points-covered-si_range=100
0.86	0.87	0.87	0.89	points-notcovered-pk_range=100
0.86	0.86	0.86	0.89	points-notcovered-si_range=100
0.86	0.87	0.86	0.89	random-points_range=1000
0.87	0.87	0.87	0.89	random-points_range=100
0.90	0.90	0.91	0.91	random-points_range=10
1.02	1.00	1.00	0.96	range-covered-pk_range=100
1.02	1.00	0.99	0.96	range-covered-si_range=100
1.02	0.94	0.95	0.92	range-notcovered-pk_range=100
0.88	0.88	0.88	0.90	range-notcovered-si_range=100
1.02	1.01	1.02	1.00	read-only-count_range=1000
1.00	0.98	0.97	0.93	read-only-distinct_range=1000
1.01	0.97	0.96	0.92	read-only-order_range=1000
1.01	0.97	0.98	0.93	read-only_range=10000
1.01	0.98	0.98	0.95	read-only_range=100
1.00	0.99	0.97	0.96	read-only_range=10
1.01	0.93	0.96	0.93	read-only-simple_range=1000
1.00	0.99	0.99	0.98	read-only-sum_range=1000
0.76	0.77	0.79	0.82	scan_range=100
0.91	0.94	0.84	0.89	scan.warm_range=100
1.52	1.47	1.47	1.50	delete_range=100
1.31	1.30	1.29	1.32	insert_range=100
1.02	0.99	0.99	0.98	read-write_range=100
1.04	1.01	1.00	1.00	read-write_range=10
1.90	1.80	1.77	1.79	update-index_range=100
2.23	2.09	2.11	2.14	update-inlist_range=100
1.26	1.21	1.20	1.23	update-nonindex_range=100
1.05	1.02	1.01	1.02	update-one_range=100
1.25	1.20	1.19	1.21	update-zipf_range=100
1.39	1.35	1.34	1.35	write-only_range=10000
