Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
1.01	0.98	1.06	1.04	hot-points_range=100
0.96	0.97	0.96	0.96	point-query_range=100
0.94	0.94	0.97	0.97	points-covered-pk_range=100
1.01	0.94	1.03	1.02	points-covered-si_range=100
0.95	0.94	0.97	0.97	points-notcovered-pk_range=100
0.97	0.94	1.01	1.01	points-notcovered-si_range=100
0.93	0.93	0.96	0.96	random-points_range=1000
0.95	0.94	0.97	0.97	random-points_range=100
0.97	0.97	0.98	0.97	random-points_range=10
0.99	1.00	1.01	0.97	range-covered-pk_range=100
0.99	0.99	1.00	0.96	range-covered-si_range=100
0.99	0.95	0.96	0.93	range-notcovered-pk_range=100
0.92	0.92	0.96	0.96	range-notcovered-si_range=100
1.02	1.01	1.02	1.00	read-only-count_range=1000
0.99	0.97	0.96	0.93	read-only-distinct_range=1000
0.98	0.96	0.95	0.92	read-only-order_range=1000
1.01	0.97	0.98	0.94	read-only_range=10000
0.97	0.97	0.97	0.96	read-only_range=100
0.96	0.98	0.97	0.97	read-only_range=10
0.98	0.94	0.95	0.93	read-only-simple_range=1000
0.97	0.98	0.98	0.98	read-only-sum_range=1000
1.05	1.07	1.04	1.03	scan_range=100
1.03	1.04	1.02	1.02	scan.warm_range=100
1.12	1.07	1.05	1.06	delete_range=100
1.08	1.05	1.04	1.05	insert_range=100
0.98	0.97	0.97	0.95	read-write_range=100
0.97	0.97	0.96	0.96	read-write_range=10
1.16	1.17	1.18	1.16	update-index_range=100
1.41	1.29	1.30	1.30	update-inlist_range=100
1.06	0.98	0.97	0.97	update-nonindex_range=100
1.03	0.96	0.95	0.94	update-one_range=100
1.06	0.98	0.97	0.97	update-zipf_range=100
1.07	1.01	1.00	1.00	write-only_range=10000
