Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
0.93	0.91	1.00	1.01	hot-points_range=100
1.00	1.01	1.00	0.96	point-query_range=100
0.97	0.98	1.02	1.00	points-covered-pk_range=100
1.00	0.96	1.04	1.02	points-covered-si_range=100
0.97	0.98	1.00	1.00	points-notcovered-pk_range=100
1.00	0.96	1.02	1.03	points-notcovered-si_range=100
0.96	0.96	1.02	1.01	random-points_range=1000
0.97	0.96	1.01	1.00	random-points_range=100
0.98	0.99	0.98	0.95	random-points_range=10
1.00	1.00	1.00	0.94	range-covered-pk_range=100
1.01	1.00	1.00	0.95	range-covered-si_range=100
1.01	0.97	0.94	0.92	range-notcovered-pk_range=100
0.98	0.97	1.03	1.02	range-notcovered-si_range=100
1.00	1.01	1.03	1.00	read-only-count_range=1000
1.00	0.98	0.96	0.93	read-only-distinct_range=1000
1.01	0.98	0.94	0.93	read-only-order_range=1000
1.01	0.97	0.95	0.94	read-only_range=10000
1.00	0.99	0.97	0.95	read-only_range=100
0.99	1.00	0.98	0.96	read-only_range=10
1.02	0.96	0.94	0.94	read-only-simple_range=1000
1.01	1.01	1.01	0.98	read-only-sum_range=1000
0.97	1.01	1.04	1.00	scan_range=100
0.95	0.99	1.04	0.98	scan.warm_range=100
1.01	0.96	0.94	0.93	delete_range=100
0.99	0.96	0.94	0.95	insert_range=100
1.00	0.97	0.96	0.94	read-write_range=100
1.00	0.98	0.97	0.95	read-write_range=10
1.03	1.02	1.04	1.07	update-index_range=100
1.05	0.91	0.91	0.90	update-inlist_range=100
1.02	0.92	0.90	0.89	update-nonindex_range=100
1.02	0.92	0.90	0.88	update-one_range=100
1.02	0.93	0.91	0.89	update-zipf_range=100
1.02	0.96	0.94	0.93	write-only_range=10000
