Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
0.99	0.98	1.07	1.04	hot-points_range=100
0.94	0.96	0.97	0.93	point-query_range=100
0.90	0.89	0.91	0.90	points-covered-pk_range=100
1.02	0.92	1.01	1.00	points-covered-si_range=100
0.90	0.89	0.91	0.90	points-notcovered-pk_range=100
0.94	0.91	0.95	0.95	points-notcovered-si_range=100
0.88	0.87	0.89	0.88	random-points_range=1000
0.90	0.89	0.91	0.91	random-points_range=100
0.95	0.95	0.96	0.95	random-points_range=10
0.98	0.98	1.00	0.95	range-covered-pk_range=100
0.97	0.98	0.99	0.95	range-covered-si_range=100
0.98	0.94	0.96	0.92	range-notcovered-pk_range=100
0.87	0.86	0.87	0.87	range-notcovered-si_range=100
1.02	1.02	1.04	1.01	read-only-count_range=1000
0.98	0.97	0.97	0.93	read-only-distinct_range=1000
0.99	0.96	0.96	0.91	read-only-order_range=1000
1.01	0.97	0.98	0.94	read-only_range=10000
0.97	0.97	0.97	0.94	read-only_range=100
0.97	0.97	0.98	0.95	read-only_range=10
0.98	0.93	0.96	0.92	read-only-simple_range=1000
0.98	0.97	1.00	0.97	read-only-sum_range=1000
1.01	1.02	1.06	1.00	scan_range=100
1.11	0.96	0.95	0.94	scan.warm_range=100
1.18	1.14	1.13	1.15	delete_range=100
1.11	1.09	1.09	1.10	insert_range=100
0.99	0.97	0.98	0.95	read-write_range=100
0.99	0.97	0.98	0.96	read-write_range=10
1.22	1.24	1.23	1.23	update-index_range=100
1.68	1.57	1.55	1.58	update-inlist_range=100
1.08	1.03	1.02	1.03	update-nonindex_range=100
1.03	0.99	0.97	0.98	update-one_range=100
1.08	1.03	1.02	1.02	update-zipf_range=100
1.12	1.07	1.06	1.06	write-only_range=10000
