
Legend:
* M - value for M when creating the index
* cons - value for ef_construction when creating the index
* secs - time to create the index in seconds
* size (MB) - size of index in MB

pgvector
M       cons    secs    size (MB)
 8	 32	 27.2	234
16	 32	 51.0	234
 8	 64	 35.1	234
16	 64	 61.3	234
32	 64	151.5	234
 8	 96	 42.2	234
16	 96	 71.2	234
32	 96	166.0	234
48	 96	316.4	234
 8	192	 62.0	234
16	192	 98.6	234
32	192	197.6	234
48	192	353.8	234
64	192	582.3	238
 8	256	 76.3	234
16	256	115.9	234
32	256	219.1	234
48	256	377.3	234
64	256	603.5	238

pgvector_halfvec
M       cons    secs    size (MB)
 8	 32	 23.0	117
16	 32	 44.5	117
 8	 64	 28.6	117
16	 64	 52.7	117
32	 64	142.7	156
 8	 96	 33.8	117
16	 96	 59.2	117
32	 96	154.0	156
48	 96	312.7	156
 8	192	 48.0	117
16	192	 78.5	117
32	192	179.1	156
48	192	343.1	156
64	192	583.0	156
 8	256	 57.0	117
16	256	 90.1	117
32	256	195.3	156
48	256	362.6	156
64	256	597.9	156

MariaDB
M       NA      secs    size (MB)
 4		  8.7	120
 5		  9.9	120
 6		 11.5	120
 8		 15.1	132
12		 24.5	132
16		 36.1	132
24		 67.8	136
32		108.5	148
48		217.7	172
